ques_neg,sparql_neg,type
Name a borough of New York City closed to water That doesn't start with letter M,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q408804 . ?sbj wdt:P206 wd:Q11299 . ?sbj rdfs:label ?sbj_label . FILTER(!STRSTARTS(lcase(?sbj_label), 'm')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a borough of New York City closed to water That doesn't start with letter M,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q408804 . ?sbj wdt:P206 wd:Q18419 . ?sbj rdfs:label ?sbj_label . FILTER(!STRSTARTS(lcase(?sbj_label), 'm')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a borough of New York City closed to water That doesn't start with letter M,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q408804 . ?sbj wdt:P206 wd:Q18432 . ?sbj rdfs:label ?sbj_label . FILTER(!STRSTARTS(lcase(?sbj_label), 'm')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a borough of New York City closed to water That doesn't start with letter M,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q408804 . ?sbj wdt:P206 wd:Q490505 . ?sbj rdfs:label ?sbj_label . FILTER(!STRSTARTS(lcase(?sbj_label), 'm')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a borough of New York City closed to water That doesn't start with letter M,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q408804 . ?sbj wdt:P206 wd:Q60 . ?sbj rdfs:label ?sbj_label . FILTER(!STRSTARTS(lcase(?sbj_label), 'm')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a borough of New York City closed to water That doesn't start with letter M,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q408804 . ?sbj wdt:P206 wd:Q1408 . ?sbj rdfs:label ?sbj_label . FILTER(!STRSTARTS(lcase(?sbj_label), 'm')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a borough of New York City closed to water That doesn't start with letter M,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q408804 . ?sbj wdt:P206 wd:Q1384 . ?sbj rdfs:label ?sbj_label . FILTER(!STRSTARTS(lcase(?sbj_label), 'm')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a borough of New York City closed to water That doesn't start with letter M,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q408804 . ?sbj wdt:P206 wd:Q30 . ?sbj rdfs:label ?sbj_label . FILTER(!STRSTARTS(lcase(?sbj_label), 'm')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name an airline company using the Tirusulam as a hub That doesn't contain the word spicejet in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q46970 . ?sbj wdt:P113 wd:Q2229582 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'spicejet')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name an airline company using the Kanchipuram district as a hub That doesn't contain the word spicejet in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q46970 . ?sbj wdt:P113 wd:Q15157 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'spicejet')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name an airline company using the Tamil Nadu as a hub That doesn't contain the word spicejet in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q46970 . ?sbj wdt:P113 wd:Q1445 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'spicejet')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name an airline company using the India as a hub That doesn't contain the word spicejet in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q46970 . ?sbj wdt:P113 wd:Q668 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'spicejet')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a MediaWiki website located in Amsterdam That doesn't start with letter W,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q15633582 . ?sbj wdt:P276 wd:Q9899 . ?sbj rdfs:label ?sbj_label . FILTER(!STRSTARTS(lcase(?sbj_label), 'w')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a MediaWiki website located in North Holland That doesn't start with letter W,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q15633582 . ?sbj wdt:P276 wd:Q701 . ?sbj rdfs:label ?sbj_label . FILTER(!STRSTARTS(lcase(?sbj_label), 'w')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a MediaWiki website located in Netherlands That doesn't start with letter W,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q15633582 . ?sbj wdt:P276 wd:Q55 . ?sbj rdfs:label ?sbj_label . FILTER(!STRSTARTS(lcase(?sbj_label), 'w')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a MediaWiki website located in Kingdom of the Netherlands That doesn't start with letter W,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q15633582 . ?sbj wdt:P276 wd:Q29999 . ?sbj rdfs:label ?sbj_label . FILTER(!STRSTARTS(lcase(?sbj_label), 'w')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a space observatory wose starting point is ELA 3 and That doesn't contain the word space in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q148578 . ?sbj wdt:P1427 wd:Q3769 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'space')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a space observatory wose starting point is ELA 3 and That doesn't contain the word space in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q148578 . ?sbj wdt:P1427 wd:Q142 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'space')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a MediaWiki website located in Amsterdam That doesn't contain the word wikipedia in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q15633582 . ?sbj wdt:P276 wd:Q9899 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'wikipedia')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a MediaWiki website located in North Holland That doesn't contain the word wikipedia in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q15633582 . ?sbj wdt:P276 wd:Q701 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'wikipedia')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a MediaWiki website located in Netherlands That doesn't contain the word wikipedia in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q15633582 . ?sbj wdt:P276 wd:Q55 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'wikipedia')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a MediaWiki website located in Kingdom of the Netherlands That doesn't contain the word wikipedia in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q15633582 . ?sbj wdt:P276 wd:Q29999 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'wikipedia')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Which is landscape of of Virgin of the rocks Which doesn't have birth city is Northern District,SELECT ?answer WHERE { wd:Q269342 wdt:P180 ?answer . MINUS { ?answer wdt:P19 wd:Q189942 }},loc
Which is landscape of of Virgin of the rocks Which doesn't have birth city is Jezreel Valley Regional Council,SELECT ?answer WHERE { wd:Q269342 wdt:P180 ?answer . MINUS { ?answer wdt:P19 wd:Q795067 }},loc
Which is landscape of of Virgin of the rocks Which doesn't have birth city is Israel,SELECT ?answer WHERE { wd:Q269342 wdt:P180 ?answer . MINUS { ?answer wdt:P19 wd:Q801 }},loc
Which is landscape of of Virgin of the rocks Which doesn't have birth city is Jezreel Subdistrict,SELECT ?answer WHERE { wd:Q269342 wdt:P180 ?answer . MINUS { ?answer wdt:P19 wd:Q128843 }},loc
Which Borders of borders of Riverside County don't have a start date of 1984 0 0,"SELECT ?answer WHERE { wd:Q108111 wdt:P47 ?answer . MINUS { ?answer wdt:P571 ?x FILTER(contains(YEAR(?x),'1984')) }}",loc
Which Borders of borders of California don't have a start date of 1984 0 0,"SELECT ?answer WHERE { wd:Q99 wdt:P47 ?answer . MINUS { ?answer wdt:P571 ?x FILTER(contains(YEAR(?x),'1984')) }}",loc
Which Borders of borders of United States of America don't have a start date of 1984 0 0,"SELECT ?answer WHERE { wd:Q30 wdt:P47 ?answer . MINUS { ?answer wdt:P571 ?x FILTER(contains(YEAR(?x),'1984')) }}",loc
Who are worked for Michelle Wolf and its source location of group organisation isn't located in New York,SELECT ?answer WHERE { wd:Q23883085 wdt:P108 ?answer . MINUS { ?answer wdt:P740 wd:Q1384 }},loc
Who are worked for Michelle Wolf and its source location of group organisation isn't located in United States of America,SELECT ?answer WHERE { wd:Q23883085 wdt:P108 ?answer . MINUS { ?answer wdt:P740 wd:Q30 }},loc
Where is on harbour of Kryvyi Rih Which doesn't have tributary is Dnipropetrovsk Oblast,SELECT ?answer WHERE { wd:Q157137 wdt:P206 ?answer . MINUS { ?answer wdt:P974 wd:Q170672 }},loc
Where is on harbour of Kryvyi Rih Which doesn't have tributary is Ukraine,SELECT ?answer WHERE { wd:Q157137 wdt:P206 ?answer . MINUS { ?answer wdt:P974 wd:Q212 }},loc
Who first described the element osmium and Wasn't born in Selby,SELECT ?answer WHERE { wd:Q751 wdt:P61 ?answer . MINUS { ?answer wdt:P19 wd:Q639773 }},loc
Who first described the element osmium and Wasn't born in North Yorkshire,SELECT ?answer WHERE { wd:Q751 wdt:P61 ?answer . MINUS { ?answer wdt:P19 wd:Q21241814 }},loc
Who first described the element osmium and Wasn't born in North Yorkshire,SELECT ?answer WHERE { wd:Q751 wdt:P61 ?answer . MINUS { ?answer wdt:P19 wd:Q23086 }},loc
Who first described the element osmium and Wasn't born in England,SELECT ?answer WHERE { wd:Q751 wdt:P61 ?answer . MINUS { ?answer wdt:P19 wd:Q21 }},loc
Who first described the element osmium and Wasn't born in North East England,SELECT ?answer WHERE { wd:Q751 wdt:P61 ?answer . MINUS { ?answer wdt:P19 wd:Q47983 }},loc
Who first described the element osmium and Wasn't born in Yorkshire and the Humber,SELECT ?answer WHERE { wd:Q751 wdt:P61 ?answer . MINUS { ?answer wdt:P19 wd:Q48063 }},loc
Who first described the element osmium and Wasn't born in United Kingdom,SELECT ?answer WHERE { wd:Q751 wdt:P61 ?answer . MINUS { ?answer wdt:P19 wd:Q145 }},loc
Which is is in the arrondissement of of Arkansas River That hasn't divided into is Kansas,SELECT ?answer WHERE { wd:Q8319 wdt:P131 ?answer . MINUS { ?answer wdt:P150 wd:Q1558 }},loc
Which is is in the arrondissement of of Arkansas River That hasn't divided into is United States of America,SELECT ?answer WHERE { wd:Q8319 wdt:P131 ?answer . MINUS { ?answer wdt:P150 wd:Q30 }},loc
what is next to Mie Prefecture That doesn't have arrondissements in the Funai District,SELECT ?answer WHERE { wd:Q128196 wdt:P47 ?answer . MINUS { ?answer wdt:P150 wd:Q120730 }},loc
what is next to Mie Prefecture That doesn't have arrondissements in the Funai District,SELECT ?answer WHERE { wd:Q128196 wdt:P47 ?answer . MINUS { ?answer wdt:P150 wd:Q17 }},loc
