sparql_neg,ques_neg,type
SELECT ?answer WHERE { wd:Q4759583 wdt:P106 ?answer . MINUS { ?answer wdt:P1036 ?x FILTER(xsd:float(?x) >= 382.1556 && xsd:float(?x) <=439.6844) }},What is the career of Andrzej Boguslawski That has Q48460 and isn't between 382.1556 and 439.6844 ,num
SELECT ?answer WHERE { wd:Q4759583 wdt:P106 ?answer . MINUS { ?answer wdt:P1036 ?x FILTER(xsd:float(?x) >= 439.6844) }},What is the career of Andrzej Boguslawski That has Q48460 and isn't greater than 439.6844 ,num
SELECT ?answer WHERE { wd:Q4759583 wdt:P106 ?answer . MINUS { ?answer wdt:P1036 ?x FILTER(xsd:float(?x) <= 382.1556) }},What is the career of Andrzej Boguslawski That has Q48460 and isn't less than 382.1556 ,num
SELECT ?answer WHERE { wd:Q4759583 wdt:P106 ?answer . MINUS { ?answer wdt:P1036 ?x FILTER(xsd:float(?x) >= 353.3912 && xsd:float(?x) <=468.4488) }},What is the career of Andrzej Boguslawski That has Q48460 and isn't between 353.3912 and 468.4488 ,num
SELECT ?answer WHERE { wd:Q4759583 wdt:P106 ?answer . MINUS { ?answer wdt:P1036 ?x FILTER(xsd:float(?x) >= 468.4488) }},What is the career of Andrzej Boguslawski That has Q48460 and isn't greater than 468.4488 ,num
SELECT ?answer WHERE { wd:Q4759583 wdt:P106 ?answer . MINUS { ?answer wdt:P1036 ?x FILTER(xsd:float(?x) <= 353.3912) }},What is the career of Andrzej Boguslawski That has Q48460 and isn't less than 353.3912 ,num
SELECT ?answer WHERE { wd:Q4759583 wdt:P106 ?answer . MINUS { ?answer wdt:P1036 ?x FILTER(xsd:float(?x) >= 324.6268 && xsd:float(?x) <=497.21320000000003) }},What is the career of Andrzej Boguslawski That has Q48460 and isn't between 324.6268 and 497.21320000000003 ,num
SELECT ?answer WHERE { wd:Q4759583 wdt:P106 ?answer . MINUS { ?answer wdt:P1036 ?x FILTER(xsd:float(?x) >= 497.21320000000003) }},What is the career of Andrzej Boguslawski That has Q48460 and isn't greater than 497.21320000000003 ,num
SELECT ?answer WHERE { wd:Q4759583 wdt:P106 ?answer . MINUS { ?answer wdt:P1036 ?x FILTER(xsd:float(?x) <= 324.6268) }},What is the career of Andrzej Boguslawski That has Q48460 and isn't less than 324.6268 ,num
SELECT ?answer WHERE { wd:Q4759583 wdt:P106 ?answer . MINUS { ?answer wdt:P1036 ?x FILTER(xsd:float(?x) >= 295.8624 && xsd:float(?x) <=525.9775999999999) }},What is the career of Andrzej Boguslawski That has Q48460 and isn't between 295.8624 and 525.9775999999999 ,num
SELECT ?answer WHERE { wd:Q4759583 wdt:P106 ?answer . MINUS { ?answer wdt:P1036 ?x FILTER(xsd:float(?x) >= 525.9775999999999) }},What is the career of Andrzej Boguslawski That has Q48460 and isn't greater than 525.9775999999999 ,num
