ques_neg,sparql_neg,type
Name a city located next to the South Holland river That doesn't contain the word mannheim in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1187811 . ?sbj wdt:P206 wd:Q694 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'mannheim')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a city located next to the Baden-Württemberg river That doesn't contain the word mannheim in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1187811 . ?sbj wdt:P206 wd:Q985 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'mannheim')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a city located next to the North Rhine-Westphalia river That doesn't contain the word mannheim in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1187811 . ?sbj wdt:P206 wd:Q1198 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'mannheim')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a city located next to the Hesse river That doesn't contain the word mannheim in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1187811 . ?sbj wdt:P206 wd:Q1199 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'mannheim')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a city located next to the Rhineland-Palatinate river That doesn't contain the word mannheim in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1187811 . ?sbj wdt:P206 wd:Q1200 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'mannheim')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a city located next to the Grisons river That doesn't contain the word mannheim in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1187811 . ?sbj wdt:P206 wd:Q11925 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'mannheim')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a city located next to the Zürich river That doesn't contain the word mannheim in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1187811 . ?sbj wdt:P206 wd:Q11943 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'mannheim')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a city located next to the Aargau river That doesn't contain the word mannheim in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1187811 . ?sbj wdt:P206 wd:Q11972 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'mannheim')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a city located next to the Basel-Landschaft river That doesn't contain the word mannheim in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1187811 . ?sbj wdt:P206 wd:Q12146 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'mannheim')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
Name a city located next to the Basel-Stadt river That doesn't contain the word mannheim in its name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1187811 . ?sbj wdt:P206 wd:Q12172 . ?sbj rdfs:label ?sbj_label . FILTER(!CONTAINS(lcase(?sbj_label), 'mannheim')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",loc
